# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
PRU.L, Financial Services, Insurance - Life, 7629
PRU, Financial Services, Insurance - Life, 7630
PRVA, Healthcare, Health Information Services, 7633
PRVB, Healthcare, Biotechnology, 7634
PRYMY, Industrials, Electrical Equipment & Parts, 7637
PSA, Real Estate, REIT - Industrial, 7638
PSAC, Financial Services, Shell Companies, 7639
PSAG, Financial Services, Shell Companies, 7640
PSB, Real Estate, REIT - Diversified, 7642
PSBQ, Financial Services, Banks - Regional, 7643
PSEC, Financial Services, Asset Management, 7645
PSFE, Technology, Information Technology Services, 7646
PSHG, Industrials, Marine Shipping, 7650
PSIX, Industrials, Specialty Industrial Machinery, 7651
PSMMY, Consumer Cyclical, Residential Construction, 7653
PSMT, Consumer Defensive, Discount Stores, 7654
PSN, Industrials, Specialty Industrial Machinery, 7655
PSN.L, Industrials, Specialty Industrial Machinery, 7656
PSNL, Healthcare, Diagnostics & Research, 7657
PSO, Communication Services, Publishing, 7658
PSRU.L, Communication Services, Broadcasting, 7664
PSTG, Technology, Computer Hardware, 7666
PSTH, Financial Services, Shell Companies, 7667
PSTI, Healthcare, Biotechnology, 7668
PSTV, Healthcare, Biotechnology, 7669
PSTX, Healthcare, Biotechnology, 7670
PSX, Energy, Oil & Gas Refining & Marketing, 7671
PSXP, Energy, Oil & Gas Midstream, 7672
PT, Financial Services, Credit Services, 7673
PTBS, Financial Services, Banks - Regional, 7674
PTC, Technology, Software - Application, 7675
PTCT, Healthcare, Biotechnology, 7676
PTE, Healthcare, Biotechnology, 7677
PTEN, Energy, Oil & Gas Drilling, 7679
PTGX, Healthcare, Biotechnology, 7680
PTIC, Financial Services, Shell Companies, 7681
PTK, Financial Services, Shell Companies, 7682
PTMN, Financial Services, Asset Management, 7683
PTN, Healthcare, Biotechnology, 7684
PTNR, Communication Services, Telecom Services, 7685
PTOC, Financial Services, Shell Companies, 7686
PTON, Consumer Cyclical, Leisure, 7687
PTR, Energy, Oil & Gas Integrated, 7688
PTRO.L, Energy, Oil & Gas Drilling, 7689
PTRS, Financial Services, Banks - Regional, 7690
PTSI, Industrials, Trucking, 7691
PTVCA, Financial Services, Insurance - Property & Casualty, 7692
PTVCB, Financial Services, Insurance - Property & Casualty, 7693
PTVE, Consumer Cyclical, Packaging & Containers, 7694
PUBGY, Communication Services, Advertising Agencies, 7699
PUBM, Technology, Software - Application, 7700
PUCK, Financial Services, Shell Companies, 7701
PUK, Financial Services, Insurance - Life, 7703
PULM, Healthcare, Biotechnology, 7704
PUMP, Energy, Oil & Gas Equipment & Services, 7706
PUMSY, Consumer Cyclical, Footwear & Accessories, 7707
PUODY, Industrials, Engineering & Construction, 7708
PURE, Consumer Defensive, Household & Personal Products, 7710
PUYI, Financial Services, Asset Management, 7714
PV, Financial Services, Shell Companies, 7715
PVAC, Energy, Oil & Gas E&P, 7716
PVBC, Financial Services, Banks - Regional, 7717
PVBK, Financial Services, Banks - Regional, 7718
PVH, Consumer Cyclical, Apparel Manufacturing, 7719
PW, Real Estate, REIT - Specialty, 7720
PWBO, Financial Services, Banks - Regional, 7721
PWFL, Technology, Communication Equipment, 7722
PWOD, Financial Services, Banks - Regional, 7723
PWR, Industrials, Engineering & Construction, 7724
PXD, Energy, Oil & Gas E&P, 7726
PXLW, Technology, Semiconductors, 7728
PXS.L, Industrials, Marine Shipping, 7729
PXS, Industrials, Marine Shipping, 7730
PYPD, Healthcare, Biotechnology, 7732
PYPL, Financial Services, Credit Services, 7733
PYR, Industrials, Specialty Industrial Machinery, 7735
PYYX, Consumer Defensive, Tobacco, 7737
PZG, Basic Materials, Gold, 7739
PZN, Financial Services, Asset Management, 7740
PZZA, Consumer Cyclical, Restaurants, 7741
QADA, Technology, Software - Application, 7742
QADB, Technology, Software - Application, 7743
QBIEY, Financial Services, Insurance - Property & Casualty, 7744
QCOM, Technology, Semiconductors, 7748
QCRH, Financial Services, Banks - Regional, 7749
QD, Financial Services, Credit Services, 7750
QDEL, Healthcare, Diagnostics & Research, 7751
QELL, Financial Services, Shell Companies, 7763
QEPC, Industrials, Tools & Accessories, 7764
QFIN, Financial Services, Credit Services, 7766
QFTA, Financial Services, Shell Companies, 7767
QGEN, Healthcare, Diagnostics & Research, 7768
QH, Technology, Software - Application, 7769
QIWI, Financial Services, Credit Services, 7771
QK, Real Estate, Real Estate Services, 7772
QLGN, Healthcare, Biotechnology, 7773
QLI, Healthcare, Drug Manufacturers - Specialty & Generic, 7774
QLYS, Technology, Software - Infrastructure, 7776
QMCI, Financial Services, Financial Data & Stock Exchanges, 7777
QMCO, Technology, Computer Hardware, 7778
QMCO, Technology, Computer Hardware, 7779
QNBC, Financial Services, Banks - Regional, 7780
QNST, Communication Services, Advertising Agencies, 7781
QNTO, Financial Services, Banks - Regional, 7782
QRHC, Industrials, Waste Management, 7787
QRTEA, Consumer Cyclical, Internet Retail, 7788
QRTEA, Consumer Cyclical, Internet Retail, 7789
QRVO, Technology, Semiconductors, 7790
QS, Consumer Cyclical, Auto Parts, 7791
QSR, Consumer Cyclical, Restaurants, 7792
QTNT, Healthcare, Diagnostics & Research, 7793
QTRX, Healthcare, Medical Devices, 7794
QTT, Communication Services, Internet Content & Information, 7795
QTWO, Technology, Software - Application, 7796
QUAD, Industrials, Specialty Business Services, 7798
QUBT, Technology, Computer Hardware, 7799
QUIK, Technology, Semiconductors, 7801
QUMU, Technology, Software - Application, 7803
QUOT, Communication Services, Advertising Agencies, 7804
QURE, Healthcare, Biotechnology, 7805
R, Industrials, Rental & Leasing Services, 7808
RAAC, Financial Services, Shell Companies, 7812
RAAS, Technology, Software - Application, 7813
RACA, Financial Services, Shell Companies, 7814
RACB, Financial Services, Shell Companies, 7815
RACE, Consumer Cyclical, Auto Manufacturers, 7816
RAD, Healthcare, Pharmaceutical Retailers, 7817
RADA, Industrials, Aerospace & Defense, 7818
RAFI, Financial Services, Asset Management, 7819
RAIFY, Financial Services, Banks - Regional, 7821
RAIL, Industrials, Railroads, 7822
RAIN, Healthcare, Biotechnology, 7823
RAMP, Technology, Information Technology Services, 7824
RAND.AS, Financial Services, Asset Management, 7825
RAND, Financial Services, Asset Management, 7826
RANJY, Industrials, Staffing & Employment Services, 7827
RAPT, Healthcare, Biotechnology, 7828
RARE, Healthcare, Biotechnology, 7829
RAVE, Consumer Cyclical, Restaurants, 7832
RAVN, Industrials, Specialty Industrial Machinery, 7833
RBAC, Financial Services, Shell Companies, 7834
RBB, Financial Services, Banks - Regional, 7835
RBBN, Communication Services, Telecom Services, 7836
RBC, Industrials, Specialty Industrial Machinery, 7837
RBCAA, Financial Services, Banks - Regional, 7838
RBCN, Technology, Semiconductor Equipment & Materials, 7839
RBGLY, Consumer Defensive, Household & Personal Products, 7841
RBKB, Financial Services, Banks - Regional, 7844
RBLX, Communication Services, Electronic Gaming & Multimedia, 7845
RBNC, Financial Services, Banks - Regional, 7846
RBSFY, Utilities, Utilities - Regulated Gas, 7849
RC, Real Estate, REIT - Mortgage, 7852
RCAR, Healthcare, Biotechnology, 7853
RCAT, Technology, Software - Application, 7854
RCBC, Financial Services, Banks - Regional, 7855
RCEL, Healthcare, Medical Devices, 7857
RCHG, Financial Services, Shell Companies, 7859
RCI, Communication Services, Telecom Services, 7860
RCII, Industrials, Rental & Leasing Services, 7861
RCKT, Healthcare, Biotechnology, 7862
RCKY, Consumer Cyclical, Footwear & Accessories, 7863
RCL, Consumer Cyclical, Travel Services, 7864
RCLF, Financial Services, Shell Companies, 7865
RCM, Healthcare, Health Information Services, 7866
RCMT, Industrials, Engineering & Construction, 7867
RCON, Energy, Oil & Gas Equipment & Services, 7870
RCRUY, Industrials, Staffing & Employment Services, 7872
RCUS, Healthcare, Biotechnology, 7873
RDCM, Communication Services, Telecom Services, 7874
RDEIY, Utilities, Utilities - Regulated Electric, 7875
RDFN, Real Estate, Real Estate Services, 7876
RDHL, Healthcare, Drug Manufacturers - Specialty & Generic, 7877
RDI, Communication Services, Entertainment, 7878
RDI.L, Communication Services, Entertainment, 7879
RDIB, Communication Services, Entertainment, 7880
RDN, Financial Services, Insurance - Specialty, 7882
RDNT, Healthcare, Diagnostics & Research, 7883
RDSMY, Basic Materials, Specialty Chemicals, 7890
RDUS, Healthcare, Drug Manufacturers - Specialty & Generic, 7893
RDVT, Technology, Software - Application, 7894
RDWR, Technology, Software - Infrastructure, 7896
RDY, Healthcare, Drug Manufacturers - Specialty & Generic, 7898
RE.L, Financial Services, Insurance - Reinsurance, 7899
RE, Financial Services, Insurance - Reinsurance, 7900
RE.PA, Financial Services, Insurance - Reinsurance, 7901
RE.B.L, Financial Services, Insurance - Reinsurance, 7902
REAL, Consumer Cyclical, Specialty Retail, 7903
REDU, Consumer Defensive, Education & Training Services, 7909
REDW, Financial Services, Banks - Regional, 7910
REED, Consumer Defensive, Beverages - Non-Alcoholic, 7913
REEMF, Basic Materials, Other Industrial Metals & Mining, 7914
REFR, Technology, Electronic Components, 7915
REG, Real Estate, REIT - Retail, 7916
REGI, Energy, Oil & Gas Refining & Marketing, 7917
REGN, Healthcare, Biotechnology, 7918
REI, Energy, Oil & Gas E&P, 7919
REKR, Technology, Software - Infrastructure, 7920
RELI, Financial Services, Insurance Brokers, 7922
RELL, Technology, Electronic Components, 7923
RELX, Communication Services, Publishing, 7924
REMYY, Consumer Defensive, Beverages - Wineries & Distilleries, 7925
RENN, Consumer Cyclical, Auto & Truck Dealerships, 7929
REPH, Healthcare, Drug Manufacturers - Specialty & Generic, 7932
REPL, Healthcare, Biotechnology, 7933
REPX, Energy, Oil & Gas E&P, 7934
REPYY, Energy, Oil & Gas Integrated, 7935
RES, Energy, Oil & Gas Equipment & Services, 7936
RESN, Technology, Semiconductors, 7938
RETA, Healthcare, Biotechnology, 7939
RETO, Basic Materials, Building Materials, 7940
REV, Consumer Defensive, Household & Personal Products, 7941
REVG, Industrials, Farm & Heavy Construction Machinery, 7942
REVH, Financial Services, Shell Companies, 7943
REX, Energy, Oil & Gas Refining & Marketing, 7944
REXR, Real Estate, REIT - Industrial, 7945
REYN, Consumer Cyclical, Packaging & Containers, 7946
REZI, Industrials, Security & Protection Services, 7947
REZZF, Basic Materials, Other Industrial Metals & Mining, 7948
RF.PA, Financial Services, Banks - Regional, 7949
RF, Financial Services, Banks - Regional, 7950
RFIL, Industrials, Electrical Equipment & Parts, 7951
RFL, Healthcare, Biotechnology, 7952
RFP, Basic Materials, Paper & Paper Products, 7953
RGA, Financial Services, Insurance - Reinsurance, 7955
RGBD, Consumer Cyclical, Furnishings, Fixtures & Appliances, 7956
RGCO, Utilities, Utilities - Regulated Gas, 7957
RGEN, Healthcare, Medical Instruments & Supplies, 7958
RGLD, Basic Materials, Gold, 7960
RGLS, Healthcare, Biotechnology, 7961
RGLXY, Communication Services, Broadcasting, 7962
RGNX, Healthcare, Biotechnology, 7963
RGP.L, Industrials, Consulting Services, 7964
RGP, Industrials, Consulting Services, 7965
RGR, Industrials, Aerospace & Defense, 7966
RGS, Consumer Cyclical, Personal Services, 7967
RH, Consumer Cyclical, Specialty Retail, 7968
RHDGF, Technology, Electronics & Computer Distribution, 7969
RHHBY, Healthcare, Drug Manufacturers - General, 7970
RHI, Industrials, Staffing & Employment Services, 7971
RIBT, Consumer Defensive, Packaged Foods, 7978
RICE, Financial Services, Shell Companies, 7980
RICK, Consumer Cyclical, Restaurants, 7981
RICOY, Industrials, Business Equipment & Supplies, 7982
RIDE, Consumer Cyclical, Auto Manufacturers, 7983
RIG, Energy, Oil & Gas Drilling, 7985
RIGL, Healthcare, Biotechnology, 7987
RIII.L, Industrials, Engineering & Construction, 7988
RILY, Financial Services, Financial Conglomerates, 7989
RIO, Basic Materials, Other Industrial Metals & Mining, 7990
RIO.L, Basic Materials, Other Industrial Metals & Mining, 7991
RIOT, Technology, Software - Application, 7992
RIVE, Financial Services, Banks - Regional, 7996
RJF, Financial Services, Capital Markets, 7997
RKAGY, Healthcare, Medical Care Facilities, 7998
RKDA, Basic Materials, Agricultural Inputs, 7999
RKT.L, Financial Services, Mortgage Finance, 8002
RKT, Financial Services, Mortgage Finance, 8003
RKTA, Financial Services, Shell Companies, 8004
RKUNY, Consumer Cyclical, Internet Retail, 8005
RL, Consumer Cyclical, Apparel Manufacturing, 8006
RLAY, Healthcare, Biotechnology, 8007
RLGT, Industrials, Integrated Freight & Logistics, 8009
RLGY, Real Estate, Real Estate Services, 8010
RLI, Financial Services, Insurance - Property & Casualty, 8011
RLJ, Real Estate, REIT - Hotel & Motel, 8012
RLMD, Healthcare, Biotechnology, 8013
RLX, Consumer Defensive, Tobacco, 8014
RM.L, Financial Services, Credit Services, 8015
RM, Financial Services, Credit Services, 8016
RMAX, Real Estate, Real Estate Services, 8018
RMBI, Financial Services, Banks - Regional, 8019
RMBL, Consumer Cyclical, Auto & Truck Dealerships, 8020
RMBS, Technology, Semiconductors, 8021
RMCF, Consumer Defensive, Confectioners, 8022
RMD, Healthcare, Medical Instruments & Supplies, 8023
RMED, Healthcare, Medical Devices, 8026
RMGB, Financial Services, Shell Companies, 8028
RMGC, Financial Services, Shell Companies, 8029
RMNI, Technology, Software - Application, 8032
RMO, Consumer Cyclical, Auto Parts, 8033
RMR, Real Estate, Real Estate Services, 8034
RMTI, Healthcare, Drug Manufacturers - Specialty & Generic, 8037
RMYHY, Healthcare, Medical Care Facilities, 8039
RNA, Healthcare, Biotechnology, 8040
RNDB, Financial Services, Banks - Regional, 8042
RNECY, Technology, Semiconductors, 8043
RNG, Technology, Software - Application, 8046
RNGR, Energy, Oil & Gas Equipment & Services, 8047
RNLSY, Consumer Cyclical, Auto Manufacturers, 8049
RNLX, Healthcare, Diagnostics & Research, 8050
RNMBY, Industrials, Industrial Distribution, 8051
RNR, Financial Services, Insurance - Reinsurance, 8054
RNST, Financial Services, Banks - Regional, 8055
RNVA, Healthcare, Diagnostics & Research, 8056
RNWK, Communication Services, Electronic Gaming & Multimedia, 8058
ROAD, Industrials, Engineering & Construction, 8059
ROCC, Financial Services, Shell Companies, 8063
ROCK, Industrials, Building Products & Equipment, 8064
ROCK.L, Industrials, Building Products & Equipment, 8065
ROCR, Financial Services, Shell Companies, 8066
ROFO, Technology, Consumer Electronics, 8067
ROG, Technology, Electronic Components, 8068
ROG.SW, Technology, Electronic Components, 8069
ROHCY, Technology, Semiconductors, 8070
ROK, Industrials, Specialty Industrial Machinery, 8071
ROKU, Communication Services, Entertainment, 8072
ROL, Consumer Cyclical, Personal Services, 8073
ROLL.L, Industrials, Tools & Accessories, 8074
ROLL, Industrials, Tools & Accessories, 8075
ROOT, Financial Services, Insurance - Property & Casualty, 8077
ROP, Industrials, Specialty Industrial Machinery, 8078
ROSN.L, Industrials, Specialty Industrial Machinery, 8082
ROST, Consumer Cyclical, Apparel Retail, 8083
ROSYY, Communication Services, Telecom Services, 8084
ROT, Financial Services, Shell Companies, 8085
RPAY, Technology, Software - Infrastructure, 8087
RPD, Technology, Software - Application, 8088
RPHM, Healthcare, Biotechnology, 8089
RPM, Basic Materials, Specialty Chemicals, 8090
RPRX, Healthcare, Biotechnology, 8091
RPTX, Healthcare, Biotechnology, 8093
RRBI, Financial Services, Banks - Regional, 8095
RRC, Energy, Oil & Gas E&P, 8096
RRD, Industrials, Specialty Business Services, 8097
RRGB, Consumer Cyclical, Restaurants, 8098
RRR, Consumer Cyclical, Resorts & Casinos, 8099
RRR.L, Consumer Cyclical, Resorts & Casinos, 8100
RRTS, Industrials, Trucking, 8102
RS, Basic Materials, Steel, 8103
RSG, Industrials, Waste Management, 8107
RSG.L, Industrials, Waste Management, 8108
RSI, Consumer Cyclical, Gambling, 8110
RSKIA, Industrials, Security & Protection Services, 8111
RSNAY, Financial Services, Insurance - Property & Casualty, 8112
RSRV, Energy, Oil & Gas E&P, 8113
RSSS, Technology, Information Technology Services, 8114
RSTAY, Technology, Software - Application, 8116
RSVA, Financial Services, Shell Companies, 8117
RTMVY, Communication Services, Internet Content & Information, 8119
RTOKY, Industrials, Specialty Business Services, 8122
RTP, Financial Services, Shell Companies, 8123
RTPY, Financial Services, Shell Companies, 8124
RTPZ, Financial Services, Shell Companies, 8125
RTTO, Consumer Cyclical, Internet Retail, 8126
RTX, Industrials, Aerospace & Defense, 8130
RUBY, Healthcare, Biotechnology, 8131
RUN, Technology, Solar, 8134
RUSHA, Consumer Cyclical, Auto & Truck Dealerships, 8138
RUSHB, Consumer Cyclical, Auto & Truck Dealerships, 8139
RUTH, Consumer Cyclical, Restaurants, 8140
RVCB, Financial Services, Banks - Regional, 8141
RVI, Real Estate, REIT - Retail, 8142
RVLV, Consumer Cyclical, Internet Retail, 8143
RVMD, Healthcare, Biotechnology, 8144
RVNC, Healthcare, Biotechnology, 8145
RVP, Healthcare, Medical Instruments & Supplies, 8146
RVPH, Healthcare, Biotechnology, 8147
RVRF, Financial Services, Banks - Regional, 8149
RVSB, Financial Services, Banks - Regional, 8150
RWCB, Financial Services, Banks - Regional, 8152
RWEOY, Utilities, Utilities - Diversified, 8154
RWLK, Healthcare, Medical Devices, 8156
RWT, Real Estate, REIT - Mortgage, 8158
RWWI, Technology, Software - Application, 8159
RXDX, Healthcare, Biotechnology, 8160
RXEEY, Industrials, Industrial Distribution, 8161
RXN, Industrials, Specialty Industrial Machinery, 8163
RXRA, Financial Services, Shell Companies, 8164
RXRX, Healthcare, Biotechnology, 8165
RXT, Technology, Software - Infrastructure, 8166
RY, Financial Services, Banks - Diversified, 8167
RYAAY, Industrials, Airlines, 8169
RYAM, Basic Materials, Chemicals, 8170
RYB, Consumer Defensive, Education & Training Services, 8171
RYES, Basic Materials, Gold, 8172
RYFL, Financial Services, Banks - Regional, 8173
RYHTY, Healthcare, Medical Care Facilities, 8174
RYI, Industrials, Metal Fabrication, 8175
RYKKY, Consumer Cyclical, Department Stores, 8176
RYN, Real Estate, REIT - Specialty, 8177
RYTM, Healthcare, Biotechnology, 8178
SA, Basic Materials, Gold, 8189
SABK, Financial Services, Banks - Regional, 8193
SABR, Technology, Information Technology Services, 8194
SACH, Real Estate, REIT - Mortgage, 8195
SADL, Communication Services, Publishing, 8196
SAFE, Real Estate, REIT - Diversified, 8202
SAFE.L, Real Estate, REIT - Diversified, 8203
SAFM, Consumer Defensive, Packaged Foods, 8204
SAFRY, Industrials, Aerospace & Defense, 8205
SAFT, Financial Services, Insurance - Property & Casualty, 8206
SAGE, Healthcare, Biotechnology, 8208
SAH, Consumer Cyclical, Auto & Truck Dealerships, 8209
SAHN.SW, Industrials, Conglomerates, 8210
SAIA, Industrials, Trucking, 8211
SAIC, Technology, Information Technology Services, 8212
SAII, Financial Services, Shell Companies, 8213
SAIL, Technology, Software - Infrastructure, 8214
SAL, Financial Services, Banks - Regional, 8217
SAL.L, Financial Services, Banks - Regional, 8218
SALM, Communication Services, Broadcasting, 8220
SALRY, Consumer Defensive, Farm Products, 8221
SAM, Consumer Defensive, Beverages - Brewers, 8222
SAMG, Financial Services, Asset Management, 8225
SAN, Financial Services, Banks - Diversified, 8227
SAN.PA, Financial Services, Banks - Diversified, 8228
SANA, Healthcare, Biotechnology, 8229
SAND, Basic Materials, Gold, 8230
SANM, Technology, Electronic Components, 8231
SANT.DE, Technology, Software - Application, 8232
SANW, Consumer Defensive, Farm Products, 8233
SAP.DE, Technology, Software - Application, 8234
SAP, Technology, Software - Application, 8235
SAR, Financial Services, Asset Management, 8238
SASR, Financial Services, Banks - Regional, 8239
SATS, Technology, Communication Equipment, 8241
SAUHY, Healthcare, Medical Instruments & Supplies, 8242
SAVA, Healthcare, Biotechnology, 8246
SAVE.L, Industrials, Airlines, 8247
SAVE, Industrials, Airlines, 8248
SAXPY, Financial Services, Insurance - Diversified, 8251
SB, Industrials, Marine Shipping, 8253
SBAC, Real Estate, REIT - Specialty, 8256
SBBG, Financial Services, Insurance - Property & Casualty, 8258
SBBI, Financial Services, Banks - Regional, 8259
SBBP, Healthcare, Biotechnology, 8260
SBCF, Financial Services, Banks - Regional, 8262
SBEA, Financial Services, Shell Companies, 8264
SBFFY, Energy, Oil & Gas Equipment & Services, 8265
SBFG, Financial Services, Banks - Regional, 8266
SBG, Financial Services, Shell Companies, 8267
SBGI, Communication Services, Broadcasting, 8268
SBGSY, Industrials, Specialty Industrial Machinery, 8269
SBH, Consumer Cyclical, Specialty Retail, 8270
SBII, Financial Services, Shell Companies, 8272
SBKK, Financial Services, Banks - Regional, 8274
SBKO, Financial Services, Banks - Regional, 8275
SBLK, Industrials, Marine Shipping, 8276
SBLUY, Industrials, Specialty Industrial Machinery, 8277
SBNC, Financial Services, Banks - Regional, 8279
SBNY, Financial Services, Banks - Regional, 8280
SBOEY, Energy, Oil & Gas Equipment & Services, 8283
SBOW, Energy, Oil & Gas E&P, 8284
SBRA, Real Estate, REIT - Healthcare Facilities, 8287
SBS, Utilities, Utilities - Regulated Water, 8291
SBS.DE, Utilities, Utilities - Regulated Water, 8292
SBSI.L, Financial Services, Banks - Regional, 8293
SBSI, Financial Services, Banks - Regional, 8294
SBSNY, Communication Services, Publishing, 8295
SBSW, Basic Materials, Gold, 8296
SBT, Financial Services, Banks - Regional, 8297
SBTX, Healthcare, Biotechnology, 8298
SBTX.L, Healthcare, Biotechnology, 8299
SBUX, Consumer Cyclical, Restaurants, 8302
SC, Financial Services, Credit Services, 8303
SCAQ, Financial Services, Shell Companies, 8305
SCBFY, Financial Services, Banks - Diversified, 8306
SCCO, Basic Materials, Copper, 8307
SCGLY, Financial Services, Banks - Regional, 8310
SCHL, Communication Services, Publishing, 8311
SCHN, Basic Materials, Steel, 8312
SCHN.SW, Basic Materials, Steel, 8313
SCHW, Financial Services, Capital Markets, 8315
SCI, Consumer Cyclical, Personal Services, 8316
SCIA, Technology, Semiconductor Equipment & Materials, 8317
SCKT, Technology, Computer Hardware, 8321
SCL, Basic Materials, Specialty Chemicals, 8322
SCLE, Financial Services, Shell Companies, 8323
SCM, Financial Services, Asset Management, 8325
SCMWY, Communication Services, Telecom Services, 8327
SCND, Technology, Scientific & Technical Instruments, 8328
SCOA, Financial Services, Shell Companies, 8330
SCOB, Financial Services, Shell Companies, 8331
SCON, Technology, Semiconductor Equipment & Materials, 8332
SCOR, Communication Services, Internet Content & Information, 8334
SCPE, Financial Services, Shell Companies, 8336
SCPH, Healthcare, Biotechnology, 8337
SCPJ, Industrials, Waste Management, 8338
SCPL, Communication Services, Electronic Gaming & Multimedia, 8339
SCPS, Healthcare, Biotechnology, 8340
SCR.PA, Communication Services, Electronic Gaming & Multimedia, 8341
SCR, Communication Services, Electronic Gaming & Multimedia, 8342
SCRYY, Financial Services, Insurance - Reinsurance, 8346
SCS.L, Industrials, Business Equipment & Supplies, 8347
SCS, Industrials, Business Equipment & Supplies, 8348
SCSC, Technology, Electronics & Computer Distribution, 8349
SCSG, Financial Services, Banks - Regional, 8350
SCTC, Technology, Scientific & Technical Instruments, 8352
SCTY, Industrials, Security & Protection Services, 8354
SCU, Financial Services, Asset Management, 8355
SCVL, Consumer Cyclical, Apparel Retail, 8356
SCVPY, Basic Materials, Specialty Chemicals, 8357
SCVX, Financial Services, Shell Companies, 8358
SCWX, Technology, Software - Infrastructure, 8359
SCX, Industrials, Tools & Accessories, 8360
SCXLB, Industrials, Tools & Accessories, 8361
SCYT, Financial Services, Banks - Regional, 8363
SCYX, Healthcare, Drug Manufacturers - Specialty & Generic, 8364
SCZC, Financial Services, Banks - Regional, 8365
SD, Energy, Oil & Gas E&P, 8366
SDAC, Financial Services, Shell Companies, 8367
SDC, Healthcare, Medical Devices, 8368
SDGR, Healthcare, Health Information Services, 8371
SDH, Industrials, Consulting Services, 8372
SDPI, Energy, Oil & Gas Equipment & Services, 8379
SDRC.L, Basic Materials, Other Precious Metals & Mining, 8381
SDRLF, Energy, Oil & Gas Drilling, 8382
SDVKY, Industrials, Specialty Industrial Machinery, 8387
SDXAY, Industrials, Specialty Business Services, 8391
SE, Communication Services, Electronic Gaming & Multimedia, 8393
SEAC, Technology, Software - Application, 8395
SEAH, Financial Services, Shell Companies, 8396
SEAS, Consumer Cyclical, Leisure, 8397
SEB, Industrials, Conglomerates, 8398
SEBC, Financial Services, Banks - Regional, 8399
SECO, Consumer Cyclical, Internet Retail, 8403
SEDG, Technology, Solar, 8404
SEE, Consumer Cyclical, Packaging & Containers, 8407
SEED, Basic Materials, Agricultural Inputs, 8408
SEEL, Healthcare, Biotechnology, 8409
SEER, Healthcare, Biotechnology, 8411
SEIC, Financial Services, Asset Management, 8416
SEKEY, Technology, Computer Hardware, 8418
SELB, Healthcare, Biotechnology, 8419
SEM, Healthcare, Medical Care Facilities, 8421
SEM, Healthcare, Medical Care Facilities, 8422
SEMR, Technology, Software - Application, 8426
SEMUF, Industrials, Marine Shipping, 8427
SENEA, Consumer Defensive, Packaged Foods, 8429
SENEB, Consumer Defensive, Packaged Foods, 8430
SENR, Industrials, Waste Management, 8431
SENS, Healthcare, Diagnostics & Research, 8432
SENS.L, Healthcare, Diagnostics & Research, 8433
SEOAY, Basic Materials, Paper & Paper Products, 8435
SEOVF, Healthcare, Medical Devices, 8436
SESN, Healthcare, Biotechnology, 8443
SF, Financial Services, Capital Markets, 8447
SFBC, Financial Services, Banks - Regional, 8450
SFBE.L, Industrials, Pollution & Treatment Controls, 8451
SFBS, Financial Services, Banks - Regional, 8453
SFDL, Financial Services, Banks - Regional, 8454
SFE, Financial Services, Asset Management, 8455
SFE.L, Financial Services, Asset Management, 8456
SFET, Technology, Software - Infrastructure, 8457
SFIX, Consumer Cyclical, Specialty Retail, 8458
SFL, Industrials, Marine Shipping, 8459
SFM, Consumer Defensive, Grocery Stores, 8460
SFNC, Financial Services, Banks - Regional, 8461
SFOR.L, Technology, Software - Infrastructure, 8465
SFRGY, Consumer Cyclical, Luxury Goods, 8468
SFST, Financial Services, Banks - Regional, 8470
SFT, Consumer Cyclical, Internet Retail, 8471
SFTBY, Communication Services, Telecom Services, 8472
SFTW, Financial Services, Shell Companies, 8476
SFUN, Communication Services, Internet Content & Information, 8477
SGA, Communication Services, Broadcasting, 8480
SGAM, Financial Services, Shell Companies, 8481
SGAMY, Communication Services, Electronic Gaming & Multimedia, 8482
SGBLY, Financial Services, Banks - Regional, 8485
SGBX, Industrials, Metal Fabrication, 8488
SGC.L, Consumer Cyclical, Apparel Manufacturing, 8489
SGC, Consumer Cyclical, Apparel Manufacturing, 8490
SGEN, Healthcare, Biotechnology, 8493
SGFY, Healthcare, Health Information Services, 8495
SGH, Technology, Semiconductors, 8496
SGIL.L, Industrials, Specialty Business Services, 8497
SGIOY, Healthcare, Drug Manufacturers - Specialty & Generic, 8498
SGLB, Technology, Information Technology Services, 8501
SGMA, Technology, Electronic Components, 8508
SGMO, Healthcare, Biotechnology, 8510
SGMS, Consumer Cyclical, Gambling, 8512
SGOC, Financial Services, Credit Services, 8514
SGOO.L, Financial Services, Shell Companies, 8516
SGPYY, Technology, Software - Application, 8517
SGRP, Industrials, Specialty Business Services, 8520
SGRY, Healthcare, Medical Care Facilities, 8521
SGSI, Industrials, Consulting Services, 8524
SGSOY, Industrials, Consulting Services, 8526
SGTX, Healthcare, Biotechnology, 8527
SGU, Energy, Oil & Gas Midstream, 8528
SHAC, Financial Services, Shell Companies, 8532
SHAK, Consumer Cyclical, Restaurants, 8533
SHBI, Financial Services, Banks - Regional, 8535
SHC, Healthcare, Diagnostics & Research, 8536
SHCAY, Technology, Consumer Electronics, 8537
SHECY, Basic Materials, Chemicals, 8538
SHEN, Communication Services, Telecom Services, 8540
SHG.L, Financial Services, Banks - Regional, 8541
SHG, Financial Services, Banks - Regional, 8542
SHI, Energy, Oil & Gas Refining & Marketing, 8543
SHI.L, Energy, Oil & Gas Refining & Marketing, 8544
